"election_date","election_type","contest_status","assembly","province","constituency_number","constituency_name","voter_reg","votes_cast","turnout","votes_disq","disq_pct","validated_votes","MOV_votes","MOV_pct","win_votes","win_pct","win_party","win_name","second_votes","second_pct","second_party","second_name","third_votes","third_pct","third_party","third_name","remainder_votes","remainder_pct","effective_parties","Cox_SF_ratio","winbuckets","delimit"
2018-07-25,"General Election","Contested","National","Punjab","NA-87","Hafizabad-I",684447,404723,0.591313863600834,9565,0.0236334480620078,395158,8165,0.0206626210275384,165618,0.419118428577936,"Pakistan Tehreek-e-Insaf","Ch  Shoukat Ali Bhatti",157453,0.398455807550398,"Pakistan Muslim League (Nawaz)","Saira Tarar",44130,0.111676848248043,"Tehreek-e-Labbaik Pakistan","Liaqat Abbas",27957,0.070748915623624,2.87589545968701,0.280274113544994,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-89","Sargodha-II",443614,261441,0.589343438214303,6869,0.0262736143145107,254572,823,0.00323287714281223,114245,0.448772842260736,"Pakistan Muslim League (Nawaz)","Mohsin Nawaz Ranjha",113422,0.445539965117923,"Pakistan Tehreek-e-Insaf","Usama Ahmad Mela",19495,0.0765795138506984,"Pakistan Peoples Party Parliamentarians","Muhammad Aslam",7410,0.0291076787706425,2.46273653905469,0.171880234875068,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-91","Sargodha-IV",457921,272293,0.594628767844235,6733,0.0247270403572622,265560,279,0.00105061003163126,110525,0.416195963247477,"Pakistan Muslim League (Nawaz)","Zulfiqar Ali Bhatti",110246,0.415145353215846,"Pakistan Tehreek-e-Insaf","CHOUDHARY AMIR SULTAN CHEEMA",11397,0.0429168549480343,"Allah-o-Akbar Tehreek","Hafiz talha saeed",33392,0.125741828588643,2.85743293403999,0.103377900331985,"Pakistan Muslim League (Nawaz)","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-94","Khushab-II",399794,237851,0.594933890953841,8757,0.0368171670499598,229094,8755,0.0382157542318874,93864,0.409718281578741,"Pakistan Tehreek-e-Insaf","MALIK MUHAMMAD EHSAN ULLAH TIWANA",85109,0.371502527346853,"Pakistan Muslim League (Nawaz)","MALIK SHAKIR BASHIR AWAN",43738,0.190917265401975,"Independents","Gul Asghar Khan Bhagoor",6383,0.0278619256724314,2.9188835178752,0.513905697399805,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Punjab","NA-98","Bhakkar-II",434072,295087,0.679811183398146,7705,0.0261109435522405,287382,4628,0.0161040009464754,138307,0.481265354127955,"Pakistan Tehreek-e-Insaf","Muhammad Afzal Khan",133679,0.46516135318148,"Independents","Rashid Akbar Khan",6613,0.0230111837206227,"Tehreek-e-Labbaik Pakistan","Hafiz Muhammad Zulfiqar",8783,0.0305621089699424,2.22820806549912,0.0494692509668684,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Sindh","NA-196","Jacobabad",486064,216726,0.445879554955726,13660,0.0630288936260532,203066,5398,0.0265824904218333,92274,0.454403986881113,"Pakistan Tehreek-e-Insaf","Muhammad Mian Soomro",86876,0.427821496459279,"Pakistan Peoples Party Parliamentarians","Aijaz Hussain Jakhrani",12739,0.0627332985334817,"Muttahidda Majlis-e-Amal Pakistan","Abdul Ghani AG Ansari",11177,0.0550412181261265,2.53643129353387,0.146634283346379,"Pakistan Tehreek-e-Insaf","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Sindh","NA-199","Shikarpur-II",291567,145047,0.497473993970511,8011,0.055230373603039,137036,6798,0.0496074024343968,62785,0.458164277999942,"Grand Democratic Alliance","Ghous Bux Khan Mahar",55987,0.408556875565545,"Pakistan Peoples Party Parliamentarians","Zulfiqar Ali Kamario",16663,0.121595785049184,"Muttahidda Majlis-e-Amal Pakistan","Abdullah",1601,0.0116830613853294,2.55310848055824,0.297622662403772,"Other Parties","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Sindh","NA-204","Ghotki-I",366842,214127,0.583703610818827,10058,0.0469721240198574,204069,8139,0.0398835687929083,99878,0.489432495871494,"Pakistan Peoples Party Parliamentarians","Khalid Ahmed Khan Lund",91739,0.449548927078586,"Independents","Abdul Haque alias Mian Mitha",7406,0.0362916464529154,"Muttahidda Majlis-e-Amal Pakistan","Mohammad Yousif",5046,0.024726930597004,2.25697588417951,0.0807290247332105,"Pakistan Peoples Party Parliamentarians","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Sindh","NA-212","Naushahro Feroze-II",369531,202067,0.546820158525266,7976,0.0394720562981585,194091,5905,0.0304238733377642,90266,0.465070508163696,"Pakistan Peoples Party Parliamentarians","Zulfiqar Ali Behan",84361,0.434646634825932,"Grand Democratic Alliance","Ghulam Murtaza Khan Jatoi",7850,0.0404449459274258,"Independents","Abdul Haq Dost Muhammad",11614,0.0598379110829456,2.4535129161578,0.093052476855419,"Pakistan Peoples Party Parliamentarians","Delimitation 2018"
2018-07-25,"General Election","Contested","National","Sindh","NA-215","Sanghar-I",313950,172246,0.548641503424112,7767,0.0450924840054341,164479,585,0.00355668504793927,77812,0.473081670000426,"Pakistan Peoples Party Parliamentarians","Naveed Dero",77227,0.469524984952486,"Grand Democratic Alliance","HAJI KHUDA BAKSH",2618,0.0159169255649657,"Pakistan Muslim League (Nawaz)","MUHAMMAD ISHAQ",6822,0.0414764194821223,2.24722157632827,0.0339000608595439,"Pakistan Peoples Party Parliamentarians","Delimitation 2018"
